Timestamp, Rotation x, Rotation y, Rotation z, Marker
12720,267.688,141.812,270.312,0
12740,304.562,153.438,238.625,0
12760,410.375,109.375,247.25,0
12780,426.062,89.5625,212.562,0
12800,317.938,-76.9375,76,0
12820,94.3125,-75.875,99.6875,0
12840,27.875,-27.6875,136.688,0
12860,-78.6875,33.75,64.8125,0
12880,-113.25,39.1875,-38.5625,0
12900,-71.125,28.375,-89.125,0
12920,-107.312,-5.75,-66.4375,0
12940,-86,-103.75,-99.0625,0
12960,-67.125,-132.5,-112.938,0
12980,-27.4375,-161.938,-37.125,0
13000,-37.5625,-124.562,-53.875,0
13020,-148.938,-131.062,-225.438,0
13040,-198.125,-247.562,-304.812,0
13060,-219.812,-228.875,-230.688,0
13080,-205.312,-235.875,-189.125,0
13100,-159.312,-112.875,-95.875,0
13120,-71.125,-96,-122.188,0
13140,18,-33.3125,-70.375,0
13160,-5,7.6875,-73.9375,0
13180,-56.6875,-9.4375,-64.6875,0
13200,-37.25,-51.875,-50.5625,0
13220,-74.375,-131.812,-23.25,0
13240,-129.625,-180.312,-6.4375,0
13260,-156.938,-237.875,31,0
13280,-170.625,-308,65.875,0
13300,-237.5,-390.188,117.375,0
13320,-263.875,-382.812,211.312,0
13340,-291.75,-274.812,287.375,0
13360,-338.5,-29.75,186.312,0
13380,-180.438,-22.4375,147,0
13400,-192.375,113.75,210.062,0
13420,-103.812,211.438,-67.3125,0
13440,94,308.188,-172.5,0
13460,-75.4375,238.188,1.3125,0
13480,342.25,-23.875,91.25,0
13500,383.312,-101.562,12.3125,0
13520,62.5,-37,-50.4375,0
13540,148.812,-67.25,-51.5,0
13560,197.438,-94.9375,-97.5625,0
13580,154.5,-144.25,-60.4375,0
13600,-31.125,-118.812,-25.1875,0
13620,-107.125,-132.375,11.3125,0
13640,-38.25,-109.375,-12.25,0
13660,-26.4375,-33.375,-40,0
13680,-44.0625,-19.375,-41.4375,0
13700,-2.8125,-51.5625,0.9375,0
13720,6.25,-66.4375,5.375,0
13740,7.8125,-91.9375,-10.5625,0
13760,-104.062,-76.125,20.3125,0
13780,-119.562,-62.8125,69.625,0
13790,-160.75,-40.5,-89.6875,0
13810,-130.75,-33.1875,-143.438,0
13830,-24.125,-18.3125,-165.75,0
13850,-29.0625,-22.0625,-29.125,0
13870,-47.625,8.9375,47.6875,0
13890,-27.6875,25.25,17.375,0
13910,-29.875,23.625,21.6875,0
13930,-69.25,10.875,2.1875,0
13950,-69.125,18.625,30.75,0
13970,-75.875,-2.125,21.875,0
13990,-47.375,14.125,48.5,0
14010,-27,36.9375,29.125,0
14030,-71.25,93.625,-22.625,0
14050,-29.625,164.062,54.5,0
14070,-117.062,201.812,101.875,0
14090,-90.5625,221.188,55.9375,0
14110,-77.25,192.25,41.125,0
14130,-139.75,211.688,59.4375,0
14150,-65.625,198.625,83.1875,0
14170,-47,185.312,99.625,0
14190,-48.4375,134.375,69.75,0
