Timestamp, Acceleration x, Acceleration y, Acceleration z
12490,-0.0976563,-0.812988,0.63916,
12510,-0.148438,-0.858398,0.693848,
12530,-0.147949,-0.873535,0.743652,
12550,-0.117676,-0.867676,0.739746,
12570,-0.100098,-0.849609,0.770508,
12590,-0.162598,-0.783203,0.834961,
12610,-0.200195,-0.704102,0.89209,
12630,-0.214844,-0.691895,0.93457,
12650,-0.28418,-0.603516,0.932617,
12670,-0.292969,-0.578613,0.962891,
12690,-0.293457,-0.553223,1,
12710,-0.319336,-0.506836,1.01465,
12730,-0.336426,-0.4375,1.01758,
12750,-0.319336,-0.472656,1.02344,
12770,-0.297852,-0.460449,1.00049,
12790,-0.22998,-0.420898,0.969238,
12810,-0.21582,-0.399414,0.935059,
12830,-0.183105,-0.402344,0.899902,
12850,-0.131836,-0.395996,0.837891,
12870,-0.110352,-0.375,0.786133,
12890,-0.0844727,-0.358887,0.734863,
12910,-0.0458984,-0.34082,0.687988,
12930,-0.0302734,-0.342773,0.632813,
12950,-0.027832,-0.362793,0.595215,
12970,-0.00292969,-0.369629,0.55127,
12990,0.0141602,-0.369141,0.526367,
13010,0.043457,-0.393066,0.52002,
13030,0.0424805,-0.500488,0.484863,
13050,0.0244141,-0.507324,0.452148,
13070,0.0405273,-0.549805,0.446777,
